declarationType,incidentType,disasterName,disasterNumber,incidentBeginDate,incidentEndDate,stateCode,stateName
Major Disaster,Flood,HEAVY RAINS & FLOODS,314,1971-09-28,1971-09-28,OK,Oklahoma                      
Major Disaster,Tornado,TORNADO,306,1971-05-18,1971-05-18,TN,Tennessee                     
Major Disaster,Flood,SEVERE STORMS & FLOODING,362,1972-11-24,1972-11-24,OH,Ohio                          
Major Disaster,Flood,HEAVY RAINS & FLOODING,352,1972-09-10,1972-09-10,WI,Wisconsin                     
Major Disaster,Flood,SEVERE STORMS & FLOODING,335,1972-06-10,1972-06-10,ND,North Dakota                  
Major Disaster,Flood,SEVERE STORMS & FLOODING,325,1972-03-06,1972-03-06,MA,Massachusetts                 
Major Disaster,Flood,HEAVY RAINS & FLOODING,310,1971-09-04,1971-09-04,NJ,New Jersey                    
Major Disaster,Flood,FLOODS,303,1971-02-23,1971-02-23,NE,Nebraska                      
Major Disaster,Earthquake,SAN FERNANDO EARTHQUAKE,299,1971-02-09,1971-02-09,CA,California                    
Major Disaster,Flood,TROPICAL STORM AGNES,338,1972-06-23,1972-06-23,NY,New York                      
Major Disaster,Flood,"HEAVY RAINS, HIGH WINDS & FLOODING",313,1971-09-18,1971-09-18,TX,Texas                         
Major Disaster,Flood,TROPICAL STORM AGNES,344,1972-07-03,1972-07-03,WV,West Virginia                 
Major Disaster,Flood,SEVERE STORMS & FLOODING,319,1972-01-21,1972-01-21,OR,Oregon                        
Major Disaster,Severe Storm(s),"HEAVY RAINS, TORNADOES & FLOODING",297,1970-10-14,1970-10-14,OK,Oklahoma                      
Major Disaster,Flood,TROPICAL STORM AGNES,340,1972-06-23,1972-06-23,PA,Pennsylvania                  
Major Disaster,Hurricane,HURRICANE EDITH,315,1971-10-13,1971-10-13,LA,Louisiana                     
Major Disaster,Flood,FLOODING CAUSED BY LEVEE BREAK,342,1972-06-27,1972-06-27,CA,California                    
Major Disaster,Flood,SEVERE STORMS & FLOODING,347,1972-08-01,1972-08-01,MN,Minnesota                     
Major Disaster,Flood,SEVERE STORMS & FLOODING,317,1972-01-14,1972-01-14,OK,Oklahoma                      
Major Disaster,Flood,SEVERE STORMS & FLOODING,322,1972-02-01,1972-02-01,WA,Washington                    
Major Disaster,Flood,"HEAVY RAINS, MELTING SNOWS & FLOODING",300,1971-02-09,1971-02-09,WA,Washington                    
Major Disaster,Coastal Storm,COASTAL STORMS,327,1972-03-18,1972-03-18,NH,New Hampshire                 
Major Disaster,Coastal Storm,TROPICAL STORM AGNES,337,1972-06-23,1972-06-23,FL,Florida                       
Fire Suppression,Fire,BROKEN BOW FIRE,2003,1971-04-08,1971-04-08,OK,Oklahoma                      
Major Disaster,Flood,FLOODS,312,1971-09-18,1971-09-18,PA,Pennsylvania                  
Major Disaster,Flood,HEAVY RAINS & FLOODING,332,1972-05-15,1972-05-15,KY,Kentucky                      
Fire Suppression,Fire,DELTA JUNCTION FIRE,2005,1971-06-18,1971-06-18,AK,Alaska                        
Major Disaster,Flood,HEAVY RAINS & FLOODING,296,1970-10-12,1970-10-12,PR,Puerto Rico                   
Major Disaster,Fire,FOREST & BRUSH FIRES,295,1970-09-29,1970-09-29,CA,California                    
Major Disaster,Flood,SEVERE STORMS & FLOODING,288,1970-06-05,1970-06-05,KY,Kentucky                      
Major Disaster,Flood,HEAVY RAINS & FLOODING,291,1970-07-22,1970-07-22,MN,Minnesota                     
Major Disaster,Flood,HEAVY RAINS & FLOODING,290,1970-07-22,1970-07-22,NY,New York                      
Major Disaster,Flood,SEVERE STORMS & FLOODING,287,1970-06-05,1970-06-05,ND,North Dakota                  
Major Disaster,Flood,HEAVY RAINS & FLOODING,289,1970-07-03,1970-07-03,FL,Florida                       
Major Disaster,Flood,HEAVY RAINS & FLASH,294,1970-09-22,1970-09-22,AZ,Arizona                       
Fire Suppression,Fire,GRASS;AMLAND & FOREST FIRE,2002,1970-07-18,1970-07-18,WA,Washington                    
Major Disaster,Severe Storm(s),"HEAVY RAINS, TORNADOES & FLOODING",285,1970-04-09,1970-04-09,AL,Alabama                       
Major Disaster,Flood,HEAVY RAINS & FLOODING,293,1970-09-22,1970-09-22,CO,Colorado                      
Major Disaster,Tornado,"TORNADOES, WINDSTORMS & FLOODING",286,1970-05-13,1970-05-13,TX,Texas                         
Major Disaster,Hurricane,HURRICANE CAMILLE,280,1969-11-07,1969-11-07,AL,Alabama                       
Major Disaster,Flood,FLOODING,270,1969-08-15,1969-08-15,CA,California                    
Major Disaster,Flood,FLOODING,255,1969-04-18,1969-04-18,MN,Minnesota                     
Major Disaster,Flood,HEAVY RAINS & FLOODING,275,1969-08-26,1969-08-26,NY,New York                      
Major Disaster,Flood,HEAVY RAINS & FLOODING,245,1968-06-18,1968-06-18,NJ,New Jersey                    
Major Disaster,Flood,HEAVY RAINS & FLOODING,250,1968-09-09,1968-09-09,MN,Minnesota                     
Major Disaster,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",266,1969-07-15,1969-07-15,OH,Ohio                          
Major Disaster,Hurricane,HURRICANE CAMILLE,271,1969-08-18,1969-08-18,MS,Mississippi                   
Major Disaster,Flood,HEAVY RAINS & FLOODING,241,1968-05-29,1968-05-29,OK,Oklahoma                      
Major Disaster,Flood,"SEVERE STORMS, HIGH WINDS & FLOODING",246,1968-07-05,1968-07-05,TX,Texas                         
Major Disaster,Hurricane,HURRICANE CAMILLE,272,1969-08-19,1969-08-19,LA,Louisiana                     
Major Disaster,Flood,SEVERE STORMS & FLOODING,277,1969-08-30,1969-08-30,VT,Vermont                       
Major Disaster,Flood,FLOODING,247,1968-07-30,1968-07-30,IN,Indiana                       
Major Disaster,Hurricane,HURRICANE GLADYS,252,1968-11-07,1968-11-07,FL,Florida                       
Major Disaster,Hurricane,HURRICANE CELIA,292,1970-08-04,1970-08-04,TX,Texas                         
Major Disaster,Tornado,TORNADOES,227,1967-04-25,1967-04-25,IL,Illinois                      
Major Disaster,Flood,SEVERE STORMS & FLOODING,265,1969-07-15,1969-07-15,KY,Kentucky                      
Major Disaster,Flood,FLOODING,260,1969-05-01,1969-05-01,WI,Wisconsin                     
Major Disaster,Tornado,TORNADOES & SEVERE STORMS,240,1968-05-29,1968-05-29,IA,Iowa                          
Major Disaster,Severe Storm(s),HEAVY RAINS & LANDSLIDE,281,1969-12-19,1969-12-19,AK,Alaska                        
Major Disaster,Flood,SEVERE STORMS & FLOODING,261,1969-05-19,1969-05-19,CO,Colorado                      
Major Disaster,Flood,FLOODING,256,1969-04-18,1969-04-18,ND,North Dakota                  
Major Disaster,Tornado,TORNADO & SEVERE STORM,236,1968-05-03,1968-05-03,AR,Arkansas                      
Major Disaster,Fire,FOREST FIRES,231,1967-08-30,1967-08-30,ID,Idaho                         
Major Disaster,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",267,1969-07-15,1969-07-15,KS,Kansas                        
Major Disaster,Flood,FLOODING,262,1969-06-06,1969-06-06,IL,Illinois                      
Major Disaster,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",242,1968-06-05,1968-06-05,IL,Illinois                      
Major Disaster,Tornado,TORNADOES & SEVERE STORMS,237,1968-05-04,1968-05-04,KY,Kentucky                      
Fire Suppression,Fire,ISLAND LAKE FIRE,2001,1970-06-26,1970-06-26,AK,Alaska                        
Major Disaster,Flood,"SEVERE STORMS, ICE JAMS & FLOODING",284,1970-02-27,1970-02-27,ME,Maine                         
Major Disaster,Flood,HEAVY RAINS & FLOODING,276,1969-08-30,1969-08-30,IL,Illinois                      
Major Disaster,Flood,HEAVY RAINS & FLOODING,251,1968-09-13,1968-09-13,HI,Hawaii                        
Major Disaster,Flood,"HEAVY SNOWMELT, RAINS & FLOODING",282,1970-02-02,1970-02-02,KY,Kentucky                      
Major Disaster,Flood,FLOODING,257,1969-04-18,1969-04-18,SD,South Dakota                  
Major Disaster,Hurricane,HURRICANE BEULAH,232,1967-09-28,1967-09-28,TX,Texas                         
Major Disaster,Flood,SEVERE STORMS & FLOODING,230,1967-08-17,1967-08-17,AK,Alaska                        
Major Disaster,Flood,SEVERE STORMS & FLOODING,279,1969-09-24,1969-09-24,WV,West Virginia                 
Major Disaster,Flood,SEVERE STORMS & FLOODING,254,1969-02-15,1969-02-15,AR,Arkansas                      
Major Disaster,Flood,FLOODING,259,1969-04-25,1969-04-25,IA,Iowa                          
Major Disaster,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",229,1967-07-18,1967-07-18,KS,Kansas                        
Major Disaster,Severe Ice Storm,SEVERE ICE STORM,234,1968-02-10,1968-02-10,NC,North Carolina                
Major Disaster,Flood,HEAVY RAINS & FLOODING,268,1969-08-05,1969-08-05,MN,Minnesota                     
Major Disaster,Hurricane,SEVERE STORMS & FLOODING,274,1969-08-23,1969-08-23,VA,Virginia                      
Major Disaster,Flood,HEAVY RAINS & FLOODING,243,1968-06-05,1968-06-05,OH,Ohio                          
Major Disaster,Flood,HEAVY RAINS & FLOODING,249,1968-08-15,1968-08-15,MN,Minnesota                     
Major Disaster,Flood,SEVERE STORMS & FLOODING,283,1970-02-16,1970-02-16,CA,California                    
Major Disaster,Flood,HEAVY RAINS & FLOODING,269,1969-08-14,1969-08-14,IA,Iowa                          
Major Disaster,Flood,FLOODING,258,1969-04-19,1969-04-19,NV,Nevada                        
Major Disaster,Flood,HEAVY RAINS & FLOODING,244,1968-06-10,1968-06-10,TX,Texas                         
Major Disaster,Flood,SEVERE STORMS & FLOODING,233,1967-10-30,1967-10-30,NY,New York                      
Major Disaster,Hurricane,SEVERE STORMS & FLOODING,278,1969-09-03,1969-09-03,WV,West Virginia                 
Major Disaster,Flood,SEVERE STORMS & FLOODING,263,1969-07-11,1969-07-11,TN,Tennessee                     
Major Disaster,Flood,SEVERE STORMS & FLOODING,253,1969-01-26,1969-01-26,CA,California                    
Major Disaster,Tornado,TORNADOES & SEVERE STORMS,238,1968-05-04,1968-05-04,OH,Ohio                          
Major Disaster,Flood,SEVERE STORMS & FLOODING,228,1967-07-18,1967-07-18,NE,Nebraska                      
Major Disaster,Typhoon,TYPHOON JEAN,235,1968-04-18,1968-04-18,FM,Federated States of Micronesia
Major Disaster,Flood,SEVERE STORMS & FLOODING,264,1969-07-11,1969-07-11,WI,Wisconsin                     
Major Disaster,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",239,1968-05-29,1968-05-29,AR,Arkansas                      
Major Disaster,Flood,SEVERE STORMS & FLOODING,273,1969-08-19,1969-08-19,PA,Pennsylvania                  
Major Disaster,Flood,HEAVY RAINS & FLOODING,248,1968-08-04,1968-08-04,IA,Iowa                          
Major Disaster,Flood,SEVERE STORMS & FLOODING,226,1967-03-27,1967-03-27,KY,Kentucky                      
Major Disaster,Flood,FLOODING,224,1967-03-13,1967-03-13,WV,West Virginia                 
Major Disaster,Flood,FLOODING,216,1966-03-23,1966-03-23,ND,North Dakota                  
Major Disaster,Flood,FLOODING,214,1966-03-14,1966-03-14,GA,Georgia                       
Major Disaster,Tornado,TORNADOES & SEVERE STORMS,219,1966-06-10,1966-06-10,KS,Kansas                        
Major Disaster,Flood,HEAVY RAINS & FLOODING,221,1966-08-31,1966-08-31,NE,Nebraska                      
Major Disaster,Typhoon,TYPHOON SALLY,225,1967-03-21,1967-03-21,FM,Federated States of Micronesia
Major Disaster,Flood,FLOODING,215,1966-03-22,1966-03-22,MN,Minnesota                     
Major Disaster,Flood,SEVERE STORMS & FLOODING,220,1966-07-09,1966-07-09,ND,North Dakota                  
Major Disaster,Flood,SEVERE STORMS & FLOODING,218,1966-05-12,1966-05-12,TX,Texas                         
Major Disaster,Flood,SEVERE STORMS & FLOODING,223,1967-01-02,1967-01-02,CA,California                    
Major Disaster,Flood,HEAVY RAINS & FLOODING,211,1965-12-07,1965-12-07,CA,California                    
Major Disaster,Earthquake,EARTHQUAKE,196,1965-05-11,1965-05-11,WA,Washington                    
Major Disaster,Flood,HEAVY RAINS & FLOODING,186,1964-12-31,1964-12-31,ID,Idaho                         
Major Disaster,Drought,EXTREME DROUGHT CONDITIONS,171,1964-06-08,1964-06-08,VI,Virgin Islands of the U.S.    
Major Disaster,Dam/Levee Break,FLOOD DUE TO BROKEN DAM,161,1963-12-21,1963-12-21,CA,California                    
Major Disaster,Drought,WATER SHORTAGE,204,1965-08-18,1965-08-18,NY,New York                      
Major Disaster,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",194,1965-04-25,1965-04-25,IL,Illinois                      
Major Disaster,Flood,SEVERE STORMS & FLOODING,179,1964-10-13,1964-10-13,NC,North Carolina                
Major Disaster,Other,SEISMIC SEA WAVE,169,1964-04-01,1964-04-01,CA,California                    
Major Disaster,Typhoon,TYPHOON OLIVE,154,1963-04-30,1963-04-30,FM,Federated States of Micronesia
Major Disaster,Flood,FLOODING,217,1966-04-30,1966-04-30,AZ,Arizona                       
Major Disaster,Typhoon,TYPHOON & HIGH TIDES,213,1966-02-10,1966-02-10,AS,American Samoa                
Major Disaster,Drought,WATER SHORTAGE,206,1965-08-18,1965-08-18,PA,Pennsylvania                  
Major Disaster,Tornado,TORNADOES & SEVERE STORMS,191,1965-04-14,1965-04-14,OH,Ohio                          
Major Disaster,Typhoon,TYPHOON LOUISE,181,1964-12-10,1964-12-10,FM,Federated States of Micronesia
Major Disaster,Flood,FLOODING,201,1965-06-23,1965-06-23,KS,Kansas                        
Major Disaster,Flood,HEAVY RAINS & FLOODING,156,1963-07-17,1963-07-17,NE,Nebraska                      
Major Disaster,Hurricane,HURRICANE DORA,176,1964-09-10,1964-09-10,FL,Florida                       
Major Disaster,Tornado,TORNADOES & SEVERE STORMS,189,1965-04-14,1965-04-14,IN,Indiana                       
Major Disaster,Hurricane,HURRICANE BETSY,209,1965-09-14,1965-09-14,FL,Florida                       
Major Disaster,Flood,FLOODING,164,1964-03-17,1964-03-17,VT,Vermont                       
Major Disaster,Flood,HEAVY RAINS & FLOODING,184,1964-12-24,1964-12-24,OR,Oregon                        
Major Disaster,Flood,SEVERE STORMS & FLOODING,212,1966-01-22,1966-01-22,CA,California                    
Major Disaster,Flood,SEVERE STORMS & FLOODING,166,1964-03-20,1964-03-20,AR,Arkansas                      
Major Disaster,Tornado,TORNADOES & FLOODING,199,1965-06-19,1965-06-19,TX,Texas                         
Major Disaster,Flood,SEVERE STORMS & FLOODING,174,1964-07-20,1964-07-20,NE,Nebraska                      
Major Disaster,Flood,HEAVY RAINS & FLOODING,222,1966-09-27,1966-09-27,TX,Texas                         
Major Disaster,Hurricane,HURRICANE CINDY,159,1963-09-24,1963-09-24,TX,Texas                         
Major Disaster,Flood,FLOODING,193,1965-04-22,1965-04-22,IA,Iowa                          
Major Disaster,Severe Storm(s),FLOODING,198,1965-06-14,1965-06-14,MO,Missouri                      
Major Disaster,Earthquake,EARTHQUAKE,168,1964-03-28,1964-03-28,AK,Alaska                        
Major Disaster,Flood,SEVERE STORMS & FLOODING,173,1964-07-08,1964-07-08,MO,Missouri                      
Major Disaster,Flood,FLOODING,197,1965-05-26,1965-05-26,SD,South Dakota                  
Major Disaster,Flood,HEAVY RAINS & FLOODING,172,1964-06-09,1964-06-09,MT,Montana                       
Major Disaster,Flood,SEVERE STORMS & FLOODING,202,1965-07-01,1965-07-01,NM,New Mexico                    
Major Disaster,Drought,WATER SHORTAGE,205,1965-08-18,1965-08-18,NJ,New Jersey                    
Major Disaster,Hurricane,HURRICANE DORA,177,1964-09-10,1964-09-10,GA,Georgia                       
Major Disaster,Flood,FLOODING,180,1964-11-04,1964-11-04,GA,Georgia                       
Major Disaster,Hurricane,HURRICANE BETSY,210,1965-09-25,1965-09-25,MS,Mississippi                   
Major Disaster,Flood,HEAVY RAINS & FLOODING,155,1963-07-04,1963-07-04,WY,Wyoming                       
Major Disaster,Flood,HEAVY RAINS & FLOODING,185,1964-12-29,1964-12-29,WA,Washington                    
Major Disaster,Flood,FLOODING,188,1965-04-11,1965-04-11,MN,Minnesota                     
Major Disaster,Drought,DROUGHT & IMPENDING FREEZE,160,1963-11-27,1963-11-27,VT,Vermont                       
Major Disaster,Flood,SEVERE STORMS & FLOODING,163,1964-03-17,1964-03-17,KY,Kentucky                      
Major Disaster,Flood,SEVERE STORMS & FLOODING,203,1965-07-27,1965-07-27,MO,Missouri                      
Major Disaster,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",192,1965-04-21,1965-04-21,WI,Wisconsin                     
Major Disaster,Hurricane,HURRICANE HILDA,178,1964-10-03,1964-10-03,LA,Louisiana                     
Major Disaster,Flood,SEVERE STORMS & FLOODING,167,1964-03-24,1964-03-24,OH,Ohio                          
Major Disaster,Drought,WATER SHORTAGE,207,1965-08-18,1965-08-18,DE,Delaware                      
Major Disaster,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",200,1965-06-19,1965-06-19,CO,Colorado                      
Major Disaster,Snow,SEVERE WINTER STORM,182,1964-12-18,1964-12-18,MT,Montana                       
Major Disaster,Hurricane,HURRICANE CLEO,175,1964-09-08,1964-09-08,FL,Florida                       
Major Disaster,Flood,HEAVY RAINS & FLOODING,157,1963-08-02,1963-08-02,AR,Arkansas                      
Major Disaster,Tornado,TORNADOES & SEVERE STORMS,190,1965-04-14,1965-04-14,MI,Michigan                      
Major Disaster,Flood,SEVERE STORMS & FLOODING,165,1964-03-20,1964-03-20,WV,West Virginia                 
Major Disaster,Hurricane,HURRICANE BETSY,208,1965-09-10,1965-09-10,LA,Louisiana                     
Major Disaster,Flood,HEAVY RAINS & FLOODING,183,1964-12-24,1964-12-24,CA,California                    
Major Disaster,Flood,HEAVY RAINS & FLOODING,158,1963-08-23,1963-08-23,NY,New York                      
Major Disaster,Flood,"SEVERE STORMS, HEAVY RAINS & FLOODING",187,1965-01-18,1965-01-18,NV,Nevada                        
Major Disaster,Flood,SEVERE STORMS & FLOODING,162,1964-03-17,1964-03-17,IN,Indiana                       
Major Disaster,Flood,FLOODING,195,1965-05-10,1965-05-10,ND,North Dakota                  
Major Disaster,Drought,EXTREME DROUGHT CONDITIONS,170,1964-05-26,1964-05-26,PR,Puerto Rico                   
Major Disaster,Flood,SEVERE STORMS & FLOODING,151,1963-03-27,1963-03-27,TN,Tennessee                     
Major Disaster,Flood,SEVERE STORMS & FLOODING,148,1963-03-13,1963-03-13,KY,Kentucky                      
Major Disaster,Flood,FLOODS,146,1963-03-02,1963-03-02,WA,Washington                    
Major Disaster,Flood,SEVERE STORMS & FLOODING,150,1963-03-26,1963-03-26,GA,Georgia                       
Major Disaster,Flood,SEVERE STORMS & FLOODING,138,1962-10-24,1962-10-24,CA,California                    
Major Disaster,Flood,FLOODS,143,1963-02-14,1963-02-14,ID,Idaho                         
Major Disaster,Flood,"SEVERE STORMS, HEAVY RAINS & FLOODING",145,1963-02-25,1963-02-25,CA,California                    
Major Disaster,Typhoon,TYPHOON OLIVE,153,1963-04-30,1963-04-30,GU,Guam                          
Major Disaster,Flood,FLOODS,144,1963-02-25,1963-02-25,OR,Oregon                        
Major Disaster,Flood,FLOODS,149,1963-03-21,1963-03-21,VA,Virginia                      
Major Disaster,Typhoon,TYPHOON KAREN,140,1962-11-12,1962-11-12,GU,Guam                          
Major Disaster,Toxic Substances,CHLORINE BARGE ACCIDENT,135,1962-10-10,1962-10-10,MS,Mississippi                   
Major Disaster,Flood,HEAVY RAINS & FLOODING,152,1963-04-24,1963-04-24,HI,Hawaii                        
Major Disaster,Flood,SEVERE STORMS & FLOODING,147,1963-03-13,1963-03-13,WV,West Virginia                 
Major Disaster,Flood,FLOODS,142,1963-02-14,1963-02-14,NV,Nevada                        
Major Disaster,Flood,FLOODS,128,1962-03-12,1962-03-12,KY,Kentucky                      
Major Disaster,Flood,FLOODS,113,1961-05-20,1961-05-20,IN,Indiana                       
Major Disaster,Severe Storm(s),"HEAVY RAINS, HAIL, FLOODS & TORNADOES",103,1960-07-15,1960-07-15,TX,Texas                         
Major Disaster,Flood,FLOODS,78,1957-06-22,1957-06-22,IL,Illinois                      
Major Disaster,Flood,ABNORMALLY HIGH TIDES,141,1962-12-17,1962-12-17,FL,Florida                       
Major Disaster,Flood,"SEVERE STORMS, HIGH TIDES & FLOODING",123,1962-03-09,1962-03-09,VA,Virginia                      
Major Disaster,Flood,FLOODS,133,1962-09-05,1962-09-05,IA,Iowa                          
Major Disaster,Flood,FLOODS,88,1958-11-06,1958-11-06,KS,Kansas                        
Major Disaster,Flood,FLOODS,108,1961-02-27,1961-02-27,MS,Mississippi                   
Major Disaster,Severe Storm(s),SEVERE STORMS,136,1962-10-16,1962-10-16,OR,Oregon                        
Major Disaster,Hurricane,FLOODS & HURRICANE,73,1957-05-16,1957-05-16,LA,Louisiana                     
Major Disaster,Hurricane,HURRICANE CARLA,118,1961-09-16,1961-09-16,TX,Texas                         
Major Disaster,Flood,HEAVY RAINSTORMS & FLOODS,83,1958-05-15,1958-05-15,AR,Arkansas                      
Major Disaster,Flood,FLOODS,131,1962-05-10,1962-05-10,NE,Nebraska                      
Major Disaster,Flood,FLOODS,121,1962-02-22,1962-02-22,NV,Nevada                        
Major Disaster,Flood,"SEVERE STORMS, HIGH TIDES & FLOODING",126,1962-03-09,1962-03-09,DE,Delaware                      
Major Disaster,Flood,FLOODS,86,1958-07-05,1958-07-05,IA,Iowa                          
Major Disaster,Other,TIDAL WAVES,101,1960-05-25,1960-05-25,HI,Hawaii                        
Major Disaster,Flood,"SEVERE STORM, HIGH TIDES & FLOODING",125,1962-03-09,1962-03-09,WV,West Virginia                 
Major Disaster,Flood,"SEVERE STORM, HIGH TIDES & FLOODING",130,1962-03-16,1962-03-16,NC,North Carolina                
Major Disaster,Flood,FLOODS,100,1960-04-20,1960-04-20,MO,Missouri                      
Major Disaster,Fire,FIRES,105,1960-07-22,1960-07-22,ID,Idaho                         
Major Disaster,Flood,FLOODS,116,1961-06-26,1961-06-26,ID,Idaho                         
Major Disaster,Flood,FLOODS,70,1957-03-06,1957-03-06,WA,Washington                    
Major Disaster,Flood,FLOODS,81,1957-09-05,1957-09-05,KS,Kansas                        
Major Disaster,Fire,FIRE (LOS ANGELES COUNTY),119,1961-11-16,1961-11-16,CA,California                    
Major Disaster,Flood,FLOODS,120,1962-02-14,1962-02-14,ID,Idaho                         
Major Disaster,Flood,FLOODS,84,1958-05-20,1958-05-20,LA,Louisiana                     
Major Disaster,Tornado,"TORNADOES, RAIN, HAIL & FLOODS",85,1958-06-06,1958-06-06,TX,Texas                         
Major Disaster,Flood,"SEVERE STORMS, HIGH TIDES & FLOODING",127,1962-03-09,1962-03-09,MD,Maryland                      
Major Disaster,Flood,FLOODS,134,1962-09-05,1962-09-05,NE,Nebraska                      
Major Disaster,Tornado,TORNADOES & FLOODS,102,1960-05-28,1960-05-28,AR,Arkansas                      
Major Disaster,Flood,FLOODS,109,1961-02-27,1961-02-27,AL,Alabama                       
Major Disaster,Flood,FLOOD,74,1957-05-18,1957-05-18,OK,Oklahoma                      
Major Disaster,Hurricane,HURRICANE DONNA,106,1960-09-12,1960-09-12,FL,Florida                       
Major Disaster,Flood,FLOODS,117,1961-07-23,1961-07-23,WV,West Virginia                 
Major Disaster,Flood,FLOODS,111,1961-03-31,1961-03-31,IA,Iowa                          
Major Disaster,Flood,HEAVY RAINSTORMS & FLOOD,82,1958-04-04,1958-04-04,CA,California                    
Major Disaster,Flood,FLOOD,76,1957-05-27,1957-05-27,ID,Idaho                         
Major Disaster,Toxic Substances,CHLORINE BARGE ACCIDENT,139,1962-11-05,1962-11-05,LA,Louisiana                     
Major Disaster,Other,TIDAL WAVE,71,1957-03-16,1957-03-16,HI,Hawaii                        
Major Disaster,Flood,FLOODS,114,1961-05-27,1961-05-27,MO,Missouri                      
Major Disaster,Flood,FLOODS,110,1961-03-02,1961-03-02,GA,Georgia                       
Major Disaster,Tornado,TORNADO,79,1957-06-22,1957-06-22,ND,North Dakota                  
Major Disaster,Tornado,TORNADOES & FLOODS,75,1957-05-22,1957-05-22,MO,Missouri                      
Major Disaster,Flood,FLOODS,122,1962-03-06,1962-03-06,CA,California                    
Major Disaster,Flood,"SEVERE STORM, HIGH TIDES & FLOODING",124,1962-03-09,1962-03-09,NJ,New Jersey                    
Major Disaster,Hurricane,HURRICANE & SEVERE STORM,87,1958-10-01,1958-10-01,NC,North Carolina                
Major Disaster,Flood,FLOODS,89,1959-01-23,1959-01-23,PA,Pennsylvania                  
Major Disaster,Flood,FLOODS & TORNADOES,132,1962-07-27,1962-07-27,SD,South Dakota                  
Major Disaster,Hurricane,HURRICANE DONNA,107,1960-09-16,1960-09-16,NC,North Carolina                
Major Disaster,Hurricane,"HURRICANE, RAIN, WIND, HAIL & FLOODS",72,1957-04-29,1957-04-29,TX,Texas                         
Major Disaster,Flood,FLOODS & TORNADOES,115,1961-05-27,1961-05-27,IL,Illinois                      
Major Disaster,Flood,FLOODS,80,1957-06-22,1957-06-22,MN,Minnesota                     
Major Disaster,Flood,"SEVERE STORM, HIGH TIDES & FLOODING",129,1962-03-16,1962-03-16,NY,New York                      
Major Disaster,Severe Storm(s),"HEAVY RAINS, HAIL, FLOODS & TORNADOES",104,1960-07-15,1960-07-15,OK,Oklahoma                      
Major Disaster,Severe Storm(s),SEVERE STORMS,137,1962-10-20,1962-10-20,WA,Washington                    
Major Disaster,Flood,FLOODS & TORNADOES,112,1961-05-16,1961-05-16,AR,Arkansas                      
Major Disaster,Tornado,"TORNADOES, RAIN, HAIL & FLOODS",77,1957-05-29,1957-05-29,AR,Arkansas                      
Major Disaster,Flood,FLOOD,69,1957-03-01,1957-03-01,OR,Oregon                        
Major Disaster,Hurricane,HURRICANE,64,1956-10-04,1956-10-04,LA,Louisiana                     
Major Disaster,Flood,FLOOD,63,1956-08-31,1956-08-31,NV,Nevada                        
Major Disaster,Flood,FLOOD,59,1956-06-12,1956-06-12,CO,Colorado                      
Major Disaster,Severe Storm(s),SEVERE STORM,58,1956-05-21,1956-05-21,PA,Pennsylvania                  
Major Disaster,Flood,FLOODS,68,1957-02-01,1957-02-01,VA,Virginia                      
Major Disaster,Flood,FLOOD,67,1957-01-31,1957-01-31,WV,West Virginia                 
Major Disaster,Fire,FOREST FIRE,65,1956-12-29,1956-12-29,CA,California                    
Major Disaster,Hurricane,HURRICANE,62,1956-08-18,1956-08-18,PR,Puerto Rico                   
Major Disaster,Flood,STORM & FLOOD,60,1956-07-20,1956-07-20,OR,Oregon                        
Major Disaster,Other,WIND STORM,57,1956-05-17,1956-05-17,OH,Ohio                          
Major Disaster,Hurricane,HURRICANE & FLOODS,43,1955-08-20,1955-08-20,MA,Massachusetts                 
Major Disaster,Tornado,TORNADO,53,1956-04-05,1956-04-05,MI,Michigan                      
Major Disaster,Flood,FLOOD,18,1954-07-01,1954-07-01,TX,Texas                         
Major Disaster,Hurricane,HURRICANE,28,1954-10-17,1954-10-17,NC,North Carolina                
Major Disaster,Flood,FLOOD,49,1955-12-29,1955-12-29,OR,Oregon                        
Major Disaster,Tornado,TORNADO,1,1953-05-02,1953-05-02,GA,Georgia                       
Major Disaster,Hurricane,HURRICANES,24,1954-09-13,1954-09-13,ME,Maine                         
Major Disaster,Tornado,TORNADO,34,1955-05-27,1955-05-27,KS,Kansas                        
Major Disaster,Flood,FLOOD,38,1955-08-15,1955-08-15,NM,New Mexico                    
Major Disaster,Tornado,TORNADO,7,1953-06-11,1953-06-11,MA,Massachusetts                 
Major Disaster,Other,SEVERE HARDSHIP,13,1953-10-30,1953-10-30,AK,Alaska                        
Major Disaster,Flood,FLOODS,55,1956-04-21,1956-04-21,ID,Idaho                         
Major Disaster,Hurricane,HURRICANES,44,1955-08-20,1955-08-20,SC,South Carolina                
Major Disaster,Flood,FLOOD,33,1955-05-25,1955-05-25,CO,Colorado                      
Major Disaster,Earthquake,EARTHQUAKE,19,1954-07-14,1954-07-14,NV,Nevada                        
