declarationType,incidentType,disasterName,disasterNumber,incidentBeginDate,incidentEndDate,stateCode,stateName
Major Disaster,Snow,SEVERE WINTER STORM AND SNOWSTORM,4262,2016-01-22,2016-01-23,VA,Virginia                      
Emergency,Severe Storm(s),SEVERE STORMS AND FLOODING,3373,2015-10-01,2015-10-23,SC,South Carolina                
Major Disaster,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",4281,2016-08-23,2016-08-27,IA,Iowa                          
Major Disaster,Severe Storm(s),SEVERE WINTER STORMS AND FLOODING,4256,2015-12-26,2016-01-05,OK,Oklahoma                      
Major Disaster,Severe Storm(s),SEVERE WINTER STORM,4299,2017-01-13,2017-01-16,OK,Oklahoma                      
Major Disaster,Severe Storm(s),"SEVERE STORM, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES",4278,2016-07-02,2016-07-09,KY,Kentucky                      
Major Disaster,Flood,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4250,2015-12-23,2016-01-09,MO,Missouri                      
Major Disaster,Fire,WILDFIRES,4293,2016-11-28,2016-12-09,TN,Tennessee                     
Major Disaster,Flood,SEVERE STORMS AND FLOODING,4272,2016-05-22,2016-06-24,TX,Texas                         
Major Disaster,Severe Storm(s),"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4249,2015-11-12,2015-11-21,WA,Washington                    
Major Disaster,Severe Storm(s),SEVERE STORMS AND FLOODING,4287,2016-09-02,2016-09-12,KS,Kansas                        
Major Disaster,Flood,"SEVERE STORMS, TORNADOES, AND FLOODING",4266,2016-03-07,2016-03-29,TX,Texas                         
Major Disaster,Coastal Storm,SEVERE STORM,4244,2015-08-27,2015-08-27,AK,Alaska                        
Major Disaster,Hurricane,HURRICANE MATTHEW,4284,2016-10-04,2016-10-15,GA,Georgia                       
Major Disaster,Severe Storm(s),"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4254,2015-12-26,2016-01-22,AR,Arkansas                      
Major Disaster,Severe Storm(s),SEVERE WINTER STORM,4298,2016-12-24,2016-12-26,SD,South Dakota                  
Major Disaster,Flood,SEVERE STORMS AND FLOODING,4277,2016-08-11,2016-08-31,LA,Louisiana                     
Major Disaster,Flood,"SEVERE WINTER STORM, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, MUDSLIDES, AND A T",4253,2015-12-01,2015-12-14,WA,Washington                    
Major Disaster,Flood,SEVERE STORMS AND FLOODING,4292,2016-10-20,2016-10-21,PA,Pennsylvania                  
